elapse,timeToServe,timeOfInvoke
8844434910,201903,121015997
8874354475,29317,120659339
8874435565,26916,120708473
8893343776,148666,118837361
8893497653,125640,119078415
8924229840,127779,120579431
8924343142,126053,120729263
8934130311,880104,118574668
8963906248,74519,119403192
8963933228,90707,119429241
9004091664,117972,120067001
9014433912,277435,120650472
9023978178,144141,119567342
9024050813,146839,119634320
9024058694,215752,119572575
9033946544,1299622,118046936
9043893038,192520,119487218
9072867252,164622,118680751
9103816479,152839,119679960
9113893231,120092,119942857
9133196153,1141365,118607510
9143646090,48577,119468553
9163466795,68970,119355433
9163717966,107275,119457190
9174440279,99483,120505818
9174623328,102099,120681114
9184532819,77903,120923854
9224576702,200097,120450457
9233377861,519179,119436623
9244320246,140889,119142983
9244349035,186106,119111258
9254375414,29085,121099747
9273945617,98935,119641046
9304669199,108599,119920564
9315222325,169452,121574548
9325433933,172390,120517871
9325727549,139515,120821212
9334200511,477752,120261321
9364048359,92678,119514846
9373615728,29742,119178096
9384356101,84488,119953860
9384459563,64129,120069302
9393996930,126153,119810483
9403666467,114367,120037649
9404050595,107145,120378921
9417601412,81152,122222548
9417921878,198952,123144613
9424302031,106039,119406983
9433572587,1034316,118253436
9443719756,11430944,118007676
9443796098,69769,117922610
9454184309,8494406,119859057
9483353182,29892518,119182372
9493903279,29385278,120089711
9503393468,40056356,118904043
9503549276,30406320,119026928
9516106122,39961422,121972544
9523350028,40025203,119208097
9523550892,49695468,119725358
9534641187,44150594,116858373
9534669356,44348702,116700480
9543543988,40070166,119054217
9554158327,9292183,120457823
9563834138,141699,119951207
9563863507,183213,119953357
9573414423,10644180,119031083
9603070391,29009897,119605886
9614369837,39504387,120354379
9623220867,9753624,119651622
9623295820,9763373,119726181
9634456793,22435296,118177507
9643940881,20145106,120373932
9673548269,70071,119216139
9694060215,84024,120555241
9743790713,119155,120370036
9753803098,188284,119237846
9773630693,101323,119208995
9773768157,113139,119367084
9773790636,200260,119305263
9784125194,26893,119712794
9793811408,105367,120185577
9793858056,97841,120268885
9804223967,99064,120259687
9804297345,88621,120461905
9824124399,106274,120029453
9843983008,135257,120110532
9863940414,103331,119954151
9864182305,73070,120260343
9873768727,154845,119705085
9883763622,89357,120005674
9893434974,572006,118306712
9915455981,57622,121482534
9923313835,320876,118827928
9954176308,36035,120593196
9954239542,43498,120646829
9974280198,194515,120484671
9983347092,142068,118974674
9994859246,77626,120886764
10003679005,29584,119825368
10013587128,80816,120065673
10014718055,141264,121055055
10024198607,97133,120520892
10024217075,86292,120576512
10024222885,124196,120536364
10065545747,105698,119413649
10065608196,79654,121459857
10083981688,91919,120462404
10094614757,167359,119862247
10094771784,155437,120314657
10094814857,203673,120339648
10124233803,83771,120327272
10143759779,61628,119334999
10153036177,216006,117743631
10164679058,73367,120972032
10164706979,95322,121033570
10204762118,26918,120722792
10204799045,85989,120722042
10213374030,182936,118492765
10223885378,62465,119974378
10223907800,96677,119969928
10233890795,799474,118717725
10243782571,197491,119374056
10243968258,202495,119576912
10244028833,187981,119684428
10283540321,51687,118765929
10304476092,76606,120305586
10324288280,96881,119200641
10333301400,1593237,118196491
10345375299,92517,121304590
10345411121,45357,121431713
10345424425,81392,121399689
10345431630,77935,121413510
10354104173,34964,120179809
10404224513,135864,120521490
10413608973,203364,119462176
10433431558,684314,118400172
10433453724,746839,118381750
10453206408,35759,119862136
10463811025,198874,118001976
10463863229,244316,117921969
10493255714,56944,119816631
10503521789,97948,118560200
10503554303,74913,118586562
10503565398,87084,118608018
10514646740,138363,119891559
10523234788,150408,118866820
10523275701,163912,118923295
10553878367,16733,120341266
10553924519,45403,120331767
10563726279,100127,118568425
10563745336,53472,118665002
10583880527,36009,119953114
10583914077,66196,119902330
10583941404,36531,119964967
10593316988,61111,119967724
10603801761,104477,119762997
10603822821,202754,119697906
10615100305,96367,121730089
10624712932,30390,121085467
10645154663,73557,121557872
10645206012,68954,121663213
10645215731,83371,121648575
10653647514,89081,120079285
10663434240,125548,118785090
10674616454,102084,120641945
10674635180,120306,120657991
10683202421,29354,119365559
10683234365,29331,119397167
10723497174,51805,119604232
10734483269,842406,119299956
10734543631,858258,119344325
10743648304,23727,118741868
10764400885,59113,119076966
10764448568,46058,119155698
10784553012,48894,121014609
10784612995,23628,121117245
10784655579,87835,121074427
10803612361,41078,120266200
10824555580,576979,119695978
10824641009,604265,119778437
10824647896,688658,119700920
10824676593,690764,119724418
10834441353,63738,120423184
10844377610,33232,120849666
10844387430,39495,120855960
10844390898,65050,120832952
10854248943,42589,119566610
10854283681,25437,119617094
10864363226,44540,120643622
10873870314,153520,120167411
10884206896,10880915,119740747
10894212186,258893,118163233
10924198105,69525,120533396
10924227269,74690,120561014
10924238227,108068,120539000
10933895209,848595,118858206
10974121529,84565,119736211
10983776526,16134,119329523
10994018179,94520,119884219
10994046248,122789,119859482
11003765080,36578,119482046
11003817910,29460,119555424
11014341794,48178,120036749
11014369610,58311,120076455
11023983875,60331,120154350
11033365441,623523,118331099
11033390870,578347,118417333
11053979485,10566,119984699
11083392302,99219,119313370
11133622452,450385,119240001
11144169259,29911,120040428
11153539539,44635,120092984
11164736324,165328,120389353
11194432347,90258,120746033
11204517393,48007,121087790
11214502796,60354,120642377
11233242613,725475,118439989
11244202024,62192,120894511
11244219624,51679,120888784
11254296983,7822,120653515
11263824470,150838,119520781
11293149356,72813,119595898
11293160760,65389,119659622
11293186276,102314,119606561
11354068156,25777,120772364
11363830300,7844,119553380
11373556047,73391,119166366
11373574298,38195,119236597
11383284472,89272,119252849
11383337650,31866,119418763
11403466709,90150,119264264
11403489449,67876,119257709
11414989163,25960,121757646
11423453846,153591,118779456
11433871369,487637,118949007
11433932190,530027,118982184
11443715857,82583,118842207
11453703099,106730,119511033
11483300791,15000,119413978
11483358476,11907,119495667
11483393349,10585,119520491
11483401686,20262,119520690
11493735384,20759,120117004
11493759934,44711,120125944
11503646889,43632,120271542
11503657772,30353,120300822
11515041257,88567,120834722
11523308387,12913,119786212
11534186414,711025,119134341
11534202322,761696,119108209
11534207626,711797,119164443
11544342168,120162,120616411
11553478924,10291879,119522552
11564439594,27709,120663101
11574460242,6921,120734903
11594331666,75045,120587834
11604081712,73872,120654318
11623934163,36773,120177937
11623954779,19472,120177010
11624076062,25771,120281831
11633516073,1120305,118240204
11633526495,76936,110154208
11683656331,16196,119153392
11704064710,116277,119603961
11714529116,40405,120148373
11734004230,616567,119964779
11734020724,648295,119982220
11744012188,12980,119867136
11744025345,11717,119891104
11753907289,6225,120331509
11753916651,8277,120362848
11753938332,112494,110760698
11794017043,102587,120534529
11794032516,94260,120635354
11803507245,89903,119779209
11803535777,112149,119813265
11803543542,95880,119838797
11814547610,98541,119766318
11833772252,481424,119198422
11863775637,16635,119698339
11863836495,16196,119752420
11913188604,18026,119117735
11924670736,18933,121087395
11933045512,583455,118421861
12003928203,87487,119944732
12013251350,34529,119510350
12034339726,760065,120271778
12044071126,30337,119321002
12053252845,13486,120167523
12063727150,66844,120271554
12063742771,78067,120274507
12073828157,16646,120024225
12083761595,22780,120330900
12083806802,51986,120383307
12103972595,70877,119817181
12123819729,54917,119813399
12154613845,62000,120224224
12164593144,58842,120408223
12164638122,85737,120427378
12164654042,156841,120387974
12173491954,25484,120205041
12184496017,23642,120681240
12184523477,21195,120764727
12204364207,91319,120507571
12223699614,34373,119659409
12223759529,51048,119705664
12244747495,81208,120781599
12253256680,77209,119504392
12264259199,41790,119603051
12274128220,14386,119467844
12294093087,33777,120531583
12314565611,121865,119974305
12314656952,103742,119999957
12315179822,72755,120575174
12322947443,70402,118490294
12322966518,20659,118569275
12322972192,59183,118534531
12333367045,526572,118457864
12333388034,484830,118537094
12333395440,568859,118457988
12344274944,96170,120483233
12344311818,109308,120508735
12364239072,103104,119411373
12374193647,20567,120824772
12393970661,62946,119782603
12393988262,68843,119806026
12403313130,98540,118562780
12403356568,49901,118695740
12423901518,225108,119663941
12444595545,35800,121535614
12444664769,14743,121672375
12444729723,15922,121710442
12454134071,19202,120676369
12454154755,23039,120705125
12463755814,7376,119403090
12473714297,57225,119294663
12473730553,48788,119312517
12483439217,21655,119170271
12504490726,79676,120890173
12515079633,26091,120998777
12524403977,33941,121013682
12544332171,85622,120251214
12544344552,49432,120330956
12554276343,68482,120898894
12554285248,60210,120885305
12564300368,101932,119527002
12564328917,158015,119502931
12574316396,40153,120064025
12574332818,39596,120089496
12584028467,26573,120196339
12593613149,16485,119823309
12604336071,22501,120860548
12604350951,59862,120845759
12614757297,31915,120250927
12623791652,34999,119255718
12623820718,43944,119285690
12623845492,95302,119259070
12653730683,63742,119159657
12663841798,11880,119435349
12663883398,34101,119470277
12673989709,16772,119659616
12684000722,43941,119650109
12693488871,6376,119107370
12703841357,42570,119690368
12703961302,16678,119856605
12723573419,57656,119180804
12723626242,55935,119247171
12723629508,63168,119242756
12733476499,802101,118612389
12733534217,797234,118668246
12754024011,45076,120767650
12763804954,89646,119197080
12763814542,102174,119181979
12783763367,72164,119852310
12793243300,69282,119201726
12854175134,34940,120619686
12873998480,58494,119792961
12924009712,204710,119129539
12924041207,149798,119254942
12924045435,262981,119123140
12934466011,430013,119957027
12934488684,496375,119921613
12944431022,70156,120039589
12944468287,119074,120035794
12954318347,68443,120558818
12954338812,41308,120577348
12954345645,105890,120519947
12983183824,91791,119461777
13003113630,189208,119213204
13003127191,144951,119339830
13003140080,117954,119324847
13003146332,213301,119226932
13014082172,106671,119570964
13023638083,185259,117681690
13054031955,11426,119506165
13054049930,24391,119517376
13073531835,11145,119143847
13094000507,61246,119996737
13094062576,65636,120109826
13103757440,35117,120467555
13123393275,17596,120212712
13123425037,10598,120265139
13133860682,517664,119251087
13143952637,36935,120266176
13144009524,58846,120298480
13144038823,30158,120376066
13174388956,16591,120295445
13193866293,23269,120281833
13203609196,78339,118927249
13223944088,18528,120119179
13233374574,693986,118295884
13243653911,48377,120158062
13243670627,36687,109845814
13243683643,52597,109833595
13294625681,49713,120155222
13294710919,42914,120270077
13304011535,62034,119907041
13314086494,105263,120102958
13314148404,44216,120249866
13314177210,114218,120207659
13322852584,63888,119200312
13322866895,58425,119227808
13363781456,18090,120073712
13383929976,69165,120063931
13384034957,37764,120219936
13384060687,113841,120162561
13404428104,85583,121259987
13413928222,9816,119166939
13413983888,36463,119229707
13413987952,32687,119239847
13454209661,57607,120253539
13454236062,60872,120326719
13454243379,50944,120306586
13463921449,24046,119983152
13464000653,26312,120066266
13473024301,20517,119250547
13493654956,126996,119999137
13493689197,176074,119979031
13503238674,129139,119146737
13523747288,114796,119201768
13533034816,468591,118513557
13553338322,62586,119312986
13553347839,72286,119299820
13553351448,135902,119239082
13553354600,83119,119295370
13573763903,12480,119488284
13583297536,78383,119252333
13603093558,62934,119576561
13616002692,81980,122173836
13616079800,89551,122295765
13623159952,32529,119914547
13634020605,425853,120042519
13652913904,35910,119807895
13663652569,36589,119563520
13663687558,51952,119628000
13663701709,55325,119598932
13673456011,11869,120058900
13694055790,30063,120239890
13694079576,43392,110734789
13733776078,1207991,117660756
13733818781,1202853,117694264
13763329473,48859,119612053
13773799996,43312,120840011
13793697015,29739,120181986
13814071087,23234,119886920
13824167832,66272,120310494
13824216961,70027,120326229
13834547743,555209,119757923
13844428936,76507,120747562
13854900426,94629,120998885
13903992752,94135,120407449
13904016780,99458,120425330
13922896402,120353,118782917
13933230774,476153,119106042
13944435714,68947,120178480
13944640176,82039,120352971
13944684556,99329,120409608
13944710195,74508,120461638
13954182553,31343,119589082
13973725578,45746,118719252
13983178133,48511,118264496
13994062520,57848,119977550
13994075643,44897,119987910
14003620235,43643,118982706
14014050019,31923,119406114
14023847090,38588,119752271
14033911661,566050,119619637
14033942362,527687,119701174
14033950352,577439,119653838
14043553699,65595,120604282
14053942845,39078,120640195
14053968176,46513,120574054
14063893466,11255051,119287432
14083910401,214720,119562069
14083953235,200130,119660713
14093249974,27758,119454093
14103685183,26675,120484133
14153722385,28053,119724754
14174261761,29932,120232720
14174316740,35152,120306934
14174353857,60889,120324292
14184267489,15867,120321512
14184330083,22818,120403367
14194406463,26254,120784366
14194433140,52775,120792822
14194457318,31922,120862664
14217207792,49043,123890352
14244352450,63059,120571454
14244383586,67851,120603220
14244391745,70586,120628421
14244395601,74615,120608589
14254330920,62536,119470495
14264339342,64954,120810528
14274104543,89275,120321867
14283936996,58581,120378099
14283977618,93306,120377515
14304246038,18308,119815227
14315203069,29428,120712798
14324591797,41054,120990342
14324690790,67634,121068520
14333931647,969321,116675761
14343201897,46471,118892880
14343225128,81670,118892204
14354074102,90370,120346426
14354090449,122226,120281020
14363855077,25699,119395018
14373005087,34967,118654450
14383932905,19428,119552612
14383952997,13376,119592353
14383959726,87984,119523238
14383961997,25071,119588911
14403842872,26667,119809841
14403868475,33474,119855659
14414373101,125096,120131230
14423491007,123320,119126145
14434493987,652859,118965216
14453791280,16426,119826576
14453810605,11237,119863966
14463828610,21745,120554748
14463876085,26346,120624905
14473823585,39460,119671175
14473866298,67065,119676654
14514225574,81071,120157085
14533808879,758915,119328728
14543528521,17026,120010066
14554699628,101661,120146758
14554722839,134315,120144003
14554726326,142203,120139835
14554729514,179379,120105472
14563477729,75559,119340699
14574205421,28029,120346907
14574244314,30683,120404543
14584732562,47194,120816482
14593815374,83137,119908421
14623463085,97992,119365815
14664264383,8544,120702324
14683793473,25821,120262298
14693364070,20318,119073960
14693385915,18550,119096861
14724131239,146705,118703479
14724150562,154570,118851220
14724179453,190900,118756022
14724190064,188309,118769750
14734130846,497498,119833674
14744016465,30240,120514545
14744028885,23713,120539196
14753983697,52951,119568209
14763886337,70288,119492699
14763896178,77732,119540670
14763903305,62917,119522912
14793038338,51373,118539101
14813701893,12289,120279318
14843628085,69446,119411171
14854057319,35127,119902495
14854162398,65670,119972853
14863453188,6096,119368176
14883679946,23187,119748232
14903754290,106810,119784846
14913850671,67217,120706603
14914184944,51516,121043474
14914262698,61176,121172169
14923497257,1063585,119014919
14934541968,134183,120611396
14934632725,70417,120777642
14943948903,46550,120391214
14955048563,48595,120283053
14963756048,82987,120004040
14964001997,40409,120319080
14973573895,10496422,119437617
14973666516,10607227,119409166
14984262778,102272,120746873
15004187506,9765045,120426577
15024234221,29827678,120364911
15034185770,40058555,120085066
15034300570,30604001,120005426
15034326935,30568756,120081183
15044194913,39913217,120592907
15053441724,30905375,118785961
15053507720,30954924,118845606
15064215537,40321735,120195683
15074218580,41161323,119008677
15083586935,29402158,119638862
15083605440,29518407,119558197
15094332900,39101903,120682593
15094428021,9932905,120690592
15104456494,10699304,120137991
15124109931,9927475,119870088
15143922512,29960616,119626758
15153551665,30088534,119274701
15153573521,10108593,119218190
15153579517,10075209,119260151
15162985456,9964821,118757613
15173506268,9294473,120024245
15173519862,162564,119970153
15203786537,23389,120123204
15214985298,146229,120445352
15224819242,118496,120254105
15224842098,141805,120272175
15253696516,69674,119320405
15253745729,33443,119431306
15263595856,14321,119617409
15263632251,11250,119666394
15273566196,14128,119973059
15283302819,8751,120248101
15303510535,53619,119668158
15314054839,60548,120031044
15314813738,52548,120799759
15334550785,776609,119317570
15334576872,698101,119486581
15334612919,772676,119438829
15344432995,45394,119520244
15344440932,27863,119580584
15344446288,53965,119559102
15344449421,72340,119543173
15354255021,82599,120412054
15384145468,16435,120426128
15394177776,7935,120552164
15403900862,62483,120554624
15403929746,70191,120583824
15403990856,88248,120603835
15404018011,81734,120661386
15433933309,871429,118994477
15464705737,25650,120034677
15464799476,31506,120309249
15474660103,38576,120196746
15494646582,58033,120321671
15503506122,85500,119269749
15523442825,125980,119403438
15534561274,916426,119456083
15534576807,1002919,119392071
15573686936,51532,119923709
15573726199,65989,119988314
15583650784,296960,118823537
15623810274,22503,120267722
15623862078,27605,120306653
15623883194,16886,120357689
15623885331,33915,120342787
15623887905,45047,120326775
15643891332,35585,120398902
15653109604,26345,118517438
15664034325,63428,119780475
15694179161,34727,120411135
15703558417,90220,119855237
15703570826,204363,119752771
15714363698,78932,119984949
15733853710,391165,119022058
15743952669,91324,120022326
15743983520,87989,120079045
15753828100,27794,119467521
15773581994,27817,120400009
15783535317,22156,119424460
15803792703,58794,120827498
15813887193,34053,119648266
15814634316,40812,120381834
15834088781,885355,119647445
15843265132,52347,119279711
15853542955,103423,119629388
15853554438,135276,119611733
15894390620,49982,120734509
15894407528,59579,120797175
15894412776,54166,120808115
15924672472,72794,120851183
15934928671,788092,120201797
15964091019,30914,120761217
15973332015,13974,119760905
15973353655,19312,119777374
15984948115,41947,121668239
15994278535,45145,120763712
16004171126,67832,119745857
16014078978,20199,119643325
16023992702,105446,119391237
16024000059,49038,119462586
16024007712,58951,119497345
16034480990,850351,119442300
16034502834,779867,119547175
16034535385,883407,119450855
16034547717,886093,119478620
16073873741,87844,120132896
16114068432,22702,119700913
16122970670,12423,118778900
16134322413,462780,119710024
16184919594,46732,120764429
16185003572,17763,120843345
16205073832,72662,120661967
16205220332,78681,120853330
16205325355,91217,120915862
16214741349,83556,120980848
16214831919,50780,121107710
16214838045,31561,121138167
16223625631,115746,119134959
16233321879,490155,119143735
16233450553,471531,119325847
16233475554,496200,119326583
16245259029,21086,122199108
16245302503,28523,122304327
16274388457,79991,120615622
16274406057,66658,120598212
16284123410,35602,120079409
16284179280,45564,120162666
16284229755,42436,120174473
16294123006,139970,120551496
16303606236,117291,118550152
16314939837,57486,121123245
16323265542,11460444,118095786
16323280352,225673,117940748
16323286289,234958,117935692
16334161563,708807,119254567
16344466631,31434,120763099
16344490938,41882,120808777
16344515052,102432,120771546
16363576382,108143,118241386
16383992671,47170,119445201
16423856141,18391,120156878
16433575592,748031,118513575
16433734059,745987,118675687
16443675359,32934,120327095
16443694807,41608,120375272
16443701595,87510,120330208
16443708121,59124,120370587
16443712803,81060,120349811
16443724721,52576,120386465
16453195817,65482,118911581
16473937561,25722,119865413
16484008414,15289,120275385
16504823468,58576,120751678
16504834468,45877,120788797
16504847256,53008,120787494
16513413030,50900,119073911
16523684825,72669,119858935
16523693747,48856,119839858
16533718154,634437,119941163
16533732579,711205,119888543
16543278678,118496,119279372
16554716815,180005,120924869
16563592425,40055,119822475
16563611716,33613,119862744
16563867417,64606,120086370
16583717208,64535,119658664
16593209493,17129,119245893
16605270101,110114,120810530
16613445998,44358,119881813
16613927844,35461,120316098
16624464081,39093,119595053
16634440439,320396,120644048
16634519823,361156,120715447
16644167989,24742,120428895
16664509674,26062,121205276
16684141709,34598,120194049
16693408076,79693,119966577
16693421504,81373,119956512
16693447196,67157,119994386
16693471460,74280,120008656
16714252833,22720,120912809
16714285476,28589,120983510
16723903691,30749,118565390
16723919536,70419,118569223
16734483818,511514,120435165
16743963023,38702,119452911
16754346679,77096,119780216
16773746715,63926,120308774
16784419576,23646,119859436
16834356954,582378,119978375
16834402909,583203,120081985
16843539358,48111,119590673
16843564011,52872,119616963
16843569022,73914,119609160
16852995505,187386,118390084
16853004002,258259,118331721
16853007036,222676,118372661
16853009865,267255,118330232
16883583882,26745,119336129
16883645754,58302,119434005
16894584024,63052,120757715
16894621230,34703,120835055
16894651386,40226,120880779
16902801251,67252,118292412
16924453157,55972,121330979
16935146084,688806,120436953
16964530725,44243,120842309
16973632289,11658,120570191
16983221603,89977,118919117
16993566156,83676,119648758
16993575745,53512,119661332
16993578335,47600,119670562
17003720369,134051,120042865
17053388780,256892,118130919
17053403488,251372,118163627
17063989507,57038,120602787
17103778142,41794,120420334
17113482044,15650,119736010
17124266003,39794,120443403
17124299710,85631,120445606
17124338471,19645,120554875
17143097867,50662,118629362
17153681325,86928,119163562
17153688638,66716,119231331
17153691865,79792,119187488
17164226591,52038,120135984
17164240531,66682,120139239
17173851153,35030,120413699
17184283223,39124,120185367
17204451974,37172,120943201
17222888842,44338,119022182
17243937680,35753,119584988
17263052021,24760,119896920
17263080532,7392,109361648
17263088225,10785,109368428
17323556233,130103,118974989
17374534211,44255,120694833
17404110067,67280,120025513
17404138279,141659,119971423
17404140117,165430,119949201
17404142961,178538,119938731
17413987288,63408,120692338
17424268198,50057,120514839
17433748794,707499,118990250
17433785897,684625,119111910
17463033404,32452,119337862
17463058745,68128,119402461
17463077355,40630,119396405
17494439908,56308,119854097
17494447358,44022,119892998
17494449986,63940,119874482
17494451958,69056,119871223
17524152983,8648,119972302
17534176408,790167,119329512
17534200777,843565,119327388
17543992215,39268,119752787
17554021015,31524,120216735
17554056053,36875,120248547
17573445731,120846,118422683
17594033337,117532,120371034
17594061963,72663,120377526
17594068516,104921,120417376
17605139845,54370,120827712
17605652687,56944,121332169
17614116420,7409,119627922
17623929833,48337,119786598
17633821642,299086,119359777
17643818181,19282,119634487
17653453785,86924,119192295
17653517178,88609,119282269
17663780449,16012,119784580
17722904879,88939,117512442
17722945058,75979,117527065
17734091271,507276,119415798
17754497623,52113,120636783
17764068137,21791,120216081
17783610761,15654,119797203
17804746040,54937,119061795
17824283075,47040,120370067
17824293225,118185,120309748
17824305769,60199,120378972
17854206666,144900,119966299
17874106507,65674,119549580
17874157771,67861,119583981
17874181790,49192,119635281
17883889482,16308,119735558
17893216034,82566,118657082
17893230766,68513,118667546
17893233240,115373,118622744
17904079076,56536,120413706
17934056370,386938,119025578
17934250409,345773,119267251
17943808743,30374,119461507
17943823819,32812,119505243
17954873803,82452,120452916
17954941806,128110,120549809
17973923100,46464,119651338
17983811408,60860,119703192
17993912952,104195,119688548
18003789345,33008,119851511
18003823856,49622,119890395
18003836963,37119,119914050
18003847632,43576,119920638
18003854198,64158,119902082
18013770665,25143,120504004
18014223121,20530,120944829
18023736019,55028,119599420
18023744457,60295,119608372
18033689060,699272,118687051
18033701280,603421,118825993
18053703085,10242772,119503685
18063644178,21598,119798613
18063667571,26671,119817787
18073595716,78353,118554980
18073603546,91101,118573703
18073617603,265696,118413090
18093701950,10531750,119699380
18103670266,9991487,119734223
18113452705,20040382,119473414
18123315207,9886502,119465410
18123343541,59677,119476450
18123354026,65116,119481423
18133758637,451425,119467619
18154399222,16027,120679647
18163791714,55812,119642903
18163803726,50788,119626255
18184340934,31540,120648842
18194432350,14166,120786021
18194454120,37806,120786055
18214961495,20161,121118286
18224405700,29643,120673914
18234345896,521378,120345355
18244235066,28160,120796634
18244262603,26283,120811262
18264199191,61708,120935748
18264217436,55538,120929825
18264221349,77392,120915390
18284318200,32105,120473708
18284354388,28061,120531219
18293622407,90230,120477198
18323358676,108654,118153751
18323372809,185309,118086672
18344077348,27052,119622304
18344109584,18918,119665854
18363898088,76929,119585539
18383827138,21701,119575104
18393484882,39400,119576054
18415532013,14075,121860534
18423365022,72616,120172523
18435284211,420366,120808259
18435354807,378913,120927323
18435403219,427322,120930674
18453047690,103113,118277338
18453140137,86041,118421657
18483557019,15375,119627575
18483588601,18472,119664487
18483612316,22366,119660737
18494489387,99034,120902495
18534396588,567296,118779243
18544305087,48159,120901420
18554337755,149890,118885276
18584012190,70640,120569440
18584092280,71397,120607334
18593389721,66221,118626301
18593406961,83078,118627413
18593429901,116990,118605867
18593438852,148003,118585099
18604270392,76518,120598172
18614381191,49478,119803472
18623631942,40357,119196589
18634513975,323411,120047074
18644150691,45646,120682699
18654089381,45364,119594724
18654101730,31894,119644825
18663670584,11095,119327685
18663687598,12493,119348175
18674186253,36095,119838492
18674204765,41823,119906419
18683624616,72397,119649624
18693153018,114566,119450029
18714129595,66480,120624291
18714152071,46011,120701755
18733975865,722200,118909280
18734003849,687024,118975321
18734011859,730675,118947959
18743830007,42867,120136170
18793715874,43345,119416781
18804394942,90051,120640667
18804453911,152368,120712937
18814885544,24495,121693396
18815327417,29783,122107952
18834608727,558200,120408990
18834622755,554906,120426783
18864554389,61777,120688658
18864564942,65167,120710042
18864567510,66998,120711040
18864581999,69275,120722227
18883511036,84365,119678712
18883540603,81496,119692645
18883549194,109738,119682470
18883551953,113058,119682175
18893616741,118847,120022845
18904521164,91701,120438391
18904545353,111156,120426985
18924047643,46962,119495341
18934168599,443954,118722901
18934284696,444505,118858009
18944752652,83598,121207267
18964803927,41504,121352184
18964903881,94209,121398194
18964960497,100041,121440274
18984660675,12261,120024849
18984705054,22651,120097255
18993186413,95396,119794567
19014675320,39294,121001265
19033960639,456484,120151823
19033970848,421746,120215092
19043969479,122032,119820029
19043986434,129047,119832665
19073509757,96405,119465133
19073524725,105697,119441644
19083741372,209000,118683673
19083792303,204662,118786261
19093708100,21122,119312124
19093730852,28954,119360230
19103538916,65343,118661531
19114504824,35365,121199155
19123715864,41903,119521062
19133522593,388026,118747875
19133551395,383771,118801543
19133558152,385368,118810471
19154538924,33208,120540913
